Mass,Retention Time,Frequency
847.6011,1.5858737,95
561.3532,1.9095056,95
960.3283,3.9267895,95
990.3258,4.7281795,95
399.2719,1.6792418,95
938.5607,1.3996003,95
161.1565,1.7460417,95
97.976,2.5702317,95
149.0498,2.4832,95
499.3614,1.5835642,94
156.0766,1.6533724,94
789.5795,1.9930215,94
735.8888,3.2910423,94
933.6296,1.4009573,94
406.0028,4.8087654,94
190.9713,3.2987878,94
148.0125,1.4072024,94
265.1398,1.5669044,94
59.0494,4.619893,94
373.8896,3.4172025,94
419.2174,2.574085,94
536.3885,1.326936,94
262.0478,5.6031713,94
138.03,3.3101275,94
161.1967,1.7447875,94
326.1379,1.917298,94
464.2253,1.9114785,94
203.1158,6.0136023,93
407.0828,4.3239145,93
503.2943,1.8404948,93
429.3727,2.0842903,93
308.1313,4.971216,93
365.0655,3.546806,93
788.0774,3.0298288,93
275.2028,2.4878602,93
127.0211,2.9272478,93
463.2001,1.443183,93
502.0442,3.0392578,93
815.3673,1.4896773,93
479.3011,1.6215162,93
399.9717,3.2057095,93
531.2912,2.1318283,93
743.5321,2.040066,92
613.3126,2.1036954,92
391.1663,1.57463,92
487.3154,1.6773373,92
226.1286,5.951022,92
247.041,3.4695754,92
380.0649,3.3856297,92
545.3457,1.6561521,92
397.9089,3.2055976,92
319.1573,1.5871196,92
905.6014,1.4708261,92
361.9827,3.3332822,92
572.2129,1.4831306,92
292.1763,6.672912,92
677.4858,2.0923588,92
685.8564,3.2767065,92
143.0942,4.2999353,92
743.494,1.4285977,92
409.7885,3.3491194,92
521.3369,4.424608,92
710.1191,3.692956,92
259.0703,1.9127285,92
654.0465,2.9996736,92
427.2688,1.7259237,92
233.0806,2.5118566,91
809.5059,4.2924514,91
871.5335,2.713747,91
247.9205,3.3816159,91
127.1321,2.7486925,91
175.0961,4.530593,91
422.9767,3.5556593,91
687.4404,1.4696263,91
222.0673,6.0746927,91
757.5624,4.387538,91
996.6376,1.3863735,91
346.1863,1.6281542,91
638.87,3.2516487,91
719.9145,3.2472527,91
347.0613,2.7862418,91
362.1399,2.501484,91
511.8578,3.2674725,91
399.9425,3.323022,91
517.3054,2.4790888,91
650.2365,3.8198242,91
171.1161,1.5522857,91
548.2003,2.1266375,91
586.4443,1.3260329,91
111.077,5.329802,91
736.0517,2.997341,91
213.0513,4.5632644,91
839.409,1.984209,91
406.0981,3.8731632,91
366.0148,5.580153,91
554.2238,3.669549,91
148.0896,1.9109236,91
103.0991,4.0302415,91
609.337,1.5156221,90
735.0926,3.048833,90
815.5229,3.0040996,90
323.2045,1.5440332,90
569.8426,3.4129665,90
660.2385,3.5886557,90
861.5626,1.5243999,90
605.3774,1.8944777,90
208.0821,2.3737779,90
205.0341,2.7051108,90
433.1096,3.1093895,90
254.1528,1.7998227,90
303.9956,5.695134,90
88.1007,6.841723,90
519.3315,4.4265327,90
673.4796,1.6132001,90
153.0198,4.7733665,90
341.1645,1.6901797,89
362.9075,3.2375505,89
184.1369,3.5238426,89
560.3212,1.4927526,89
292.9448,3.2955961,89
538.2774,2.090101,89
833.8648,3.288179,89
795.4951,3.4427872,89
183.16,2.692641,89
755.5441,4.3941693,89
363.1829,1.7950231,89
176.0436,1.4266179,89
701.4506,1.5012245,89
455.2751,1.6070113,89
563.4177,1.4274831,89
89.0451,2.8304272,89
627.3553,1.5334046,89
639.2724,1.4771012,89
883.415,1.8904493,89
241.097,2.000068,88
894.5498,1.3980794,88
327.1339,2.7095115,88
425.9892,3.1890686,88
163.0195,3.032125,88
315.1884,1.8985229,88
637.3559,1.4825002,88
480.257,2.1676934,88
722.5031,1.3768296,88
340.0863,3.218579,88
473.9839,2.9919083,88
221.0899,4.3233986,88
129.0794,6.381311,87
135.9304,3.295195,87
244.0817,1.8028966,87
799.2153,3.1014254,87
396.1162,1.4438393,87
144.124,3.8388734,87
162.0537,3.8532293,87
646.4258,1.3305516,87
751.493,2.8312984,87
719.0037,3.0150802,87
771.2645,2.8030114,87
746.1874,2.4632533,87
693.0211,3.0269308,87
453.2813,1.625115,87
243.0623,5.5615296,87
572.8554,3.3218837,87
850.798,3.2866623,86
423.2526,1.5270003,86
736.4294,1.4727209,86
412.2505,3.011779,86
524.2779,2.1727443,86
847.2948,2.453942,86
400.2567,1.4392905,86
954.1334,3.7171624,86
281.1056,6.085301,86
256.9994,3.182175,86
325.0533,5.554616,86
84.0199,2.5306275,86
239.1422,1.6578256,86
631.3983,1.6078371,86
840.4394,1.3911976,86
588.2195,5.2164984,86
237.0605,6.9800706,86
733.5102,3.015303,86
833.428,1.7033607,86
887.4245,1.5710697,86
204.1003,1.5351163,86
392.0776,3.6549194,86
678.4029,1.478186,86
103.0635,4.71693,86
347.1798,1.6548026,86
125.0152,5.666458,85
261.1868,2.5360007,85
508.2742,1.334859,85
646.4414,2.6019175,85
867.6133,1.3703059,85
353.2118,1.6492704,85
473.8728,3.4149766,85
541.3132,2.414012,85
820.3708,1.6600703,85
571.0938,3.0555882,85
138.0409,2.0602117,85
968.6256,1.4317999,85
462.8338,3.341659,85
756.537,2.0132473,85
163.0661,7.408695,85
592.5896,2.5996587,85
601.0692,2.9535766,85
318.1621,1.8348819,85
144.0377,2.511294,85
629.1857,2.2761648,85
437.2525,1.5124942,85
845.5556,1.4613293,85
527.1518,1.927655,84
311.181,1.8002499,84
602.3967,1.2736667,84
847.0916,1.3933454,84
402.2202,1.5787024,84
339.2014,1.6124284,84
717.5308,2.0790713,84
644.2352,1.4660952,84
232.0946,1.6097977,84
337.3276,1.3833095,84
385.9976,3.4741786,84
419.2254,1.5329882,84
558.5054,2.974107,84
133.1074,3.839476,84
300.1457,8.293057,84
491.2996,2.504226,84
319.162,2.3941905,84
716.1078,3.9659402,84
768.3317,2.2882857,84
222.1273,1.7016385,83
252.1155,2.453036,83
185.9884,5.1697474,83
777.5079,4.399374,83
402.2221,1.3744216,83
562.3333,1.538518,83
251.1515,1.6356268,83
284.0345,5.5887957,83
144.0403,3.9373372,83
128.0559,2.4238794,83
385.1061,8.096434,83
956.169,3.0074098,83
432.0434,2.5544221,83
455.3947,2.2009401,83
545.0848,3.0553608,83
780.5582,1.3897593,83
829.5382,1.3746144,83
389.1454,3.122457,83
785.2946,2.2711446,83
313.1638,2.4565425,83
155.0367,5.0632653,83
465.0968,5.837374,83
494.2571,1.951687,83
297.1106,1.953927,83
391.1633,1.4692168,83
179.1934,2.016807,83
919.7403,3.2919517,82
383.2813,1.603256,82
472.9711,3.3624873,82
637.9122,3.293037,82
979.0484,3.0221705,82
774.5216,3.0210855,82
355.0722,6.0717573,82
583.3108,1.6869148,82
745.5108,1.598842,82
161.1052,6.716025,82
966.6047,1.406817,82
963.6435,1.467549,82
221.0928,1.7980732,82
116.079,1.643756,82
420.2046,1.857512,82
576.1923,3.7178655,82
582.3111,2.1548169,82
403.1941,1.6113411,82
903.5788,1.4493418,82
296.1913,1.8562315,82
615.1511,4.4654274,82
712.2541,2.353549,82
380.0662,4.447098,82
929.5027,1.3970363,82
233.0811,4.3387074,82
757.4776,1.4417074,82
687.4706,1.7990484,82
869.5184,1.3555001,82
302.1707,6.675878,82
523.9646,3.229567,81
724.2918,2.2481973,81
823.4868,1.7227777,81
441.9629,3.2870374,81
742.1169,3.2313337,81
421.8055,3.3752592,81
886.5239,2.2817535,81
715.5127,1.9331856,81
468.0197,5.5617166,81
206.1196,1.7326299,81
555.3467,1.5592346,81
